106
1 4 17 51
2 7 22 20
3 11 21 23
4 1 32 6
5 15 6 8
6 4 34 5
7 2 8 10
8 5 27 7
9 16 10 12
10 7 28 9
11 3 12 14
12 9 30 11
13 18 14 19
14 11 40 13
15 5 20 17
16 9 23 22
17 15 48 1
18 13 43 21
19 13 49 44
20 15 2 36
21 18 24 3
22 2 16 31
23 16 3 25
24 21 41 26
25 23 26 31
26 24 64 25
27 8 33 29
28 10 29 30
29 27 75 28
30 12 28 35
31 22 25 37
32 4 53 39
33 27 34 77
34 6 38 33
35 30 46 40
36 20 37 47
37 31 63 36
38 34 39 71
39 32 60 38
40 14 35 45
41 24 42 78
42 41 43 68
43 18 44 42
44 43 19 66
45 40 86 49
46 35 75 90
47 36 72 48
48 17 47 50
49 45 61 19
50 48 57 51
51 50 52 1
52 51 55 53
53 52 54 32
54 53 58 60
55 52 56 59
56 55 57 81
57 50 73 56
58 54 59 105
59 55 84 58
60 54 62 39
61 49 76 65
62 60 87 82
63 37 64 74
64 26 79 63
65 61 69 66
66 65 67 44
67 66 89 68
68 67 70 42
69 65 83 91
70 68 93 80
71 38 82 96
72 47 74 73
73 57 72 85
74 63 101 72
75 29 77 46
76 61 86 102
77 33 96 75
78 41 80 79
79 64 78 101
80 70 104 78
81 56 92 84
82 62 100 71
83 69 102 87
84 59 81 103
85 73 104 92
86 45 90 76
87 62 98 83
88 105 103 106
89 67 91 95
90 86 46 97
91 69 99 89
92 81 85 94
93 70 95 94
94 92 93 103
95 89 106 93
96 71 97 77
97 96 100 90
98 87 105 99
99 98 106 91
100 102 97 82
101 74 79 104
102 83 76 100
103 84 94 88
104 85 101 80
105 98 58 88
106 99 88 95
